Date,MyWay,Paper Ticket,Total
26/08/2021,1112,26,1138
27/08/2021,1129,33,1162
28/08/2021,803,16,819
29/08/2021,541,8,549
30/08/2021,1095,37,1132
31/08/2021,1180,23,1203
07/08/2021,5177,365,5542
06/08/2021,12049,394,12443
01/09/2021,1209,24,1233
02/09/2021,1211,43,1254
03/09/2021,1322,34,1356
04/09/2021,612,16,628
05/09/2021,640,22,662
06/09/2021,1243,34,1277
08/09/2021,1342,44,1386
07/09/2021,1237,38,1275
09/09/2021,1291,37,1328
12/09/2021,696,24,720
11/09/2021,860,33,893
10/09/2021,1231,48,1279
13/09/2021,1222,43,1265
14/09/2021,1363,35,1398
15/09/2021,1337,41,1378
16/09/2021,1458,25,1483
17/09/2021,1497,37,1534
19/09/2021,766,15,781
18/09/2021,815,20,835
20/09/2021,1379,36,1415
21/09/2021,1404,39,1443
23/09/2021,1439,43,1482
22/09/2021,1494,35,1529
24/09/2021,1486,39,1525
26/09/2021,821,22,843
25/09/2021,985,28,1013
27/09/2021,1508,37,1545
28/09/2021,1490,42,1532
29/09/2021,1277,22,1299
30/09/2021,1416,32,1448
02/10/2021,1015,51,1066
03/10/2021,883,39,922
01/10/2021,1598,38,1636
04/10/2021,906,25,931
06/10/2021,1750,50,1800
05/10/2021,1616,37,1653
07/10/2021,1772,43,1815
08/10/2021,1756,67,1823
09/10/2021,1197,39,1236
10/10/2021,841,28,869
13/10/2021,1767,65,1832
11/10/2021,1751,49,1800
12/10/2021,1760,49,1809
14/10/2021,1605,47,1652
15/10/2021,2544,98,2642
16/10/2021,2021,138,2159
17/10/2021,1665,82,1747
20/10/2021,3164,97,3261
